,date,traffic
0,1949-01-01,112
1,1949-02-01,118
2,1949-03-01,132
3,1949-04-01,129
4,1949-05-01,121
5,1949-06-01,135
6,1949-07-01,148
7,1949-08-01,148
8,1949-09-01,136
9,1949-10-01,119
10,1949-11-01,104
11,1949-12-01,118
12,1950-01-01,115
13,1950-02-01,126
14,1950-03-01,141
15,1950-04-01,135
16,1950-05-01,125
17,1950-06-01,149
18,1950-07-01,170
19,1950-08-01,170
20,1950-09-01,158
21,1950-10-01,133
22,1950-11-01,114
23,1950-12-01,140
24,1951-01-01,145
25,1951-02-01,150
26,1951-03-01,178
27,1951-04-01,163
28,1951-05-01,172
29,1951-06-01,178
30,1951-07-01,199
31,1951-08-01,199
32,1951-09-01,184
33,1951-10-01,162
34,1951-11-01,146
35,1951-12-01,166
36,1952-01-01,171
37,1952-02-01,180
38,1952-03-01,193
39,1952-04-01,181
40,1952-05-01,183
41,1952-06-01,218
42,1952-07-01,230
43,1952-08-01,242
44,1952-09-01,209
45,1952-10-01,191
46,1952-11-01,172
47,1952-12-01,194
48,1953-01-01,196
49,1953-02-01,196
50,1953-03-01,236
51,1953-04-01,235
52,1953-05-01,229
53,1953-06-01,243
54,1953-07-01,264
55,1953-08-01,272
56,1953-09-01,237
57,1953-10-01,211
58,1953-11-01,180
59,1953-12-01,201
60,1954-01-01,204
61,1954-02-01,188
62,1954-03-01,235
63,1954-04-01,227
64,1954-05-01,234
65,1954-06-01,264
66,1954-07-01,302
67,1954-08-01,293
68,1954-09-01,259
69,1954-10-01,229
70,1954-11-01,203
71,1954-12-01,229
72,1955-01-01,242
73,1955-02-01,233
74,1955-03-01,267
75,1955-04-01,269
76,1955-05-01,270
77,1955-06-01,315
78,1955-07-01,364
79,1955-08-01,347
80,1955-09-01,312
81,1955-10-01,274
82,1955-11-01,237
83,1955-12-01,278
84,1956-01-01,284
85,1956-02-01,277
86,1956-03-01,317
87,1956-04-01,313
88,1956-05-01,318
89,1956-06-01,374
90,1956-07-01,413
91,1956-08-01,405
92,1956-09-01,355
93,1956-10-01,306
94,1956-11-01,271
95,1956-12-01,306
96,1957-01-01,315
97,1957-02-01,301
98,1957-03-01,356
99,1957-04-01,348
100,1957-05-01,355
101,1957-06-01,422
102,1957-07-01,465
103,1957-08-01,467
104,1957-09-01,404
105,1957-10-01,347
106,1957-11-01,305
107,1957-12-01,336
108,1958-01-01,340
109,1958-02-01,318
110,1958-03-01,362
111,1958-04-01,348
112,1958-05-01,363
113,1958-06-01,435
114,1958-07-01,491
115,1958-08-01,505
116,1958-09-01,404
117,1958-10-01,359
118,1958-11-01,310
119,1958-12-01,337
120,1959-01-01,360
121,1959-02-01,342
122,1959-03-01,406
123,1959-04-01,396
124,1959-05-01,420
125,1959-06-01,472
126,1959-07-01,548
127,1959-08-01,559
128,1959-09-01,463
129,1959-10-01,407
130,1959-11-01,362
131,1959-12-01,405
132,1960-01-01,417
133,1960-02-01,391
134,1960-03-01,419
135,1960-04-01,461
136,1960-05-01,472
137,1960-06-01,535
138,1960-07-01,622
139,1960-08-01,606
140,1960-09-01,508
141,1960-10-01,461
142,1960-11-01,390
143,1960-12-01,432
