,index,Area,pct_2014,pct_2013
0,25,Boston,0.04,0.04
1,23,Pittsburgh,0.06,0.07
2,22,Baltimore,0.06,0.09
3,24,Minneapolis,0.06,0.08
4,21,San Francisco,0.08,0.11
5,20,Seattle,0.08,0.12
6,19,Philadelphia,0.08,0.1
7,18,Detroit,0.09,0.11
8,17,St. Louis,0.09,0.1
9,16,Portland,0.09,0.13
10,15,"Washington, D.C.",0.09,0.11
11,14,Denver,0.1,0.14
12,13,New York,0.1,0.12
13,12,Chicago,0.11,0.14
14,11,All Metro Areas,0.11,0.14
15,10,San Diego,0.12,0.16
16,9,Charlotte,0.13,0.15
17,8,Phoenix,0.13,0.17
18,7,"Riverside, Calif.",0.14,0.19
19,6,Tampa,0.14,0.17
20,5,Los Angeles,0.14,0.2
21,4,Atlanta,0.15,0.18
22,3,San Antonio,0.15,0.19
23,2,Dallas,0.18,0.21
24,1,Miami,0.19,0.24
25,0,Houston,0.19,0.22
